Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BK-5058,1,BK-5058,
"C1, C2",0402,2,12.5pF/NC,
"C10, C14, C15, C9",0402,4,10p,
"C11, C13, C21, C24, C3, C30, C4, C5, C6, C66, C7, C8",0402,12,100nF,
C12,0402,1,1uF/50V,
"C16, C23",0603,2,22uF/6.3V,
"C22, C77",0603,2,10uF/10V,
"C26, C28",0402,2,0.1uF,
C27,0603,1,10uF,
C29,0603,1,100nF/50V,
"D1, D10, D11, D2, D3, D4, D6, D8",0402,8,LED,
"D12, D9",D_SMA,2,SS36,
"D5, D7",SOD-123_L2.7-W1.6-LS3.7-RD-1,2,1N4148W,C7603179
"DTVS2, TVS1, TVS3",D_SMA,3,SMAJ6.8CA,
"E1, E2",CP_Elec_6.3x7.7,2,100uF/35V,
"E3, E4",CP_Elec_6.3x7.7,2,220uF/10V,
J1,PinSocket_1x08_P2.00mm_Vertical_SMD_Pin1Left,1,LORAA,
"J10, J11, J12, J13, J14, J15","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",6,Conn_,
"J16, J8","TerminalBlock_Phoenix_PT-1,5-7-3.5-H_1x07_P3.50mm_Horizontal",2,Conn_01x07,
J17,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Conn_01x02,
J2,PinSocket_1x08_P2.00mm_Vertical_SMD_Pin1Right,1,LORA,
J3,PinSocket_2x04_P2.54mm_Vertical,1,nRF24L01,
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J6,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Conn_01x02,
J7,"TerminalBlock_Phoenix_PT-1,5-5-3.5-H_1x05_P3.50mm_Horizontal",1,Conn_01x05,
"K1, K2, K3, K4, K5, K6",RELAY_SRD-12VDC-SL-C,6,SRD-12VDC-SL-C,
L1,L_Sunlord_MWSA0605S,1,68uH/2A,
L2,0603,1,22R/500MA,
"P1, P2, P4",CONN-TH_4P-P2.50_4PIN,3,ZX-XH2.54-4PZZ,C7429634
P3,PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,SSD1306,
"Q1, Q2",SOT-23_BEC,2,SS8050,
"Q3, Q4",SOT-23,2,AO3400A,
"R1, R13, R14, R17, R18, R19, R2, R22, R23, R3, R31, R4, R5, R7",0603,14,4.7K,
"R10, R101, R11, R12, R46, R49, R52, R57, R59, R6, R60, R61, R68, R8, R9",0603,15,10K,
"R15, R16, R33, R34",0603,4,5.1K,
"R20, R21, R36, R37, R62",0603,5,10K/1%,
"R24, R32, R53, R58",0603,4,100R,
"R25, R26, R27, R28, R29, R30",0603,6,100K,
R35,0603,1,1K,
"R38, R39, R40, R41, R42, R43",1206,6,2K/1206,
"R44, R45",0402,2,10R,
"R47, R48",0603,2,12K,
"R50, R56",0603,2,4K7,
"R51, R55",1206,2,PPTC/60V/10R,
R54,0603,1,120R,
R63,0603,1,4K7/1%,
R64,0603,1,10K/1,
R65,0603,1,4.7K/1,
"R66, R67",0603,2,3.16K/1%,
"R69, R70, R71, R72, R73, R74",0603,6,472,
"RN1, RN2",RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,2,103,
"S1, S2, S4",SW_B3U-1000P,3,B3U-1000P,
U1,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,DS1307M/TR,C356706
"U10, U12, U13, U9",SOT-23,4,BAT54S,
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,
"U15, U16, U17, U18, U19, U20",OPTO-SMD-4_L4.4-W4.1-P2.54-LS7.0-TL,6,EL357N,C42381015
U2,SOIC127P600X175-16N,1,ULN2003A,
U21,SO14_4X8P75X1P27_STM,1,LM224D,
U22,ESP32-WROOM-32U,1,ESP32-WROOM-32U,
U23,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U24,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MAX13487EESA+,C143342
U25,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,LM258DR,C7928
U26,SOT95P280X145-5N,1,74LVC1G125,
U3,PW20,1,PCF8574P,
U5,SOIC127P600X175-14N,1,74HCT14D_653,"74HCT14D,653"
U6,PW20-L,1,PCF8574P,
U62,WB3S-SMD_OEAKA9ADCKYHKZYS,1,WB3S(0NW9WIP5K33MBOLB),C2830108
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_0603-2Pin_6.0x3.5mm,1,32.768K,
