Designator,Mid X,Mid Y,Rotation,Layer
BT1,25.3,-60.15,90.0,top
C1,41.07,-59.95,0.0,top
C10,143.21,-41.35,90.0,top
C11,147.06,-98.47,90.0,top
C12,127.5,-47.5,90.0,top
C13,129.27,-47.99,0.0,top
C14,148.96,-41.36,90.0,top
C15,154.38,-41.33,90.0,top
C16,33.9,-55.425,270.0,top
C2,40.13,-58.92,180.0,top
C21,160.14,-56.35,0.0,top
C22,79.735,-76.76,180.0,top
C23,160.43,-55.1,0.0,top
C24,142.0,-105.59,270.0,top
C26,64.48,-55.42,270.0,top
C27,62.76,-55.11,270.0,top
C28,71.91,-58.33,180.0,top
C29,112.505,-45.49,180.0,top
C3,95.93,-72.2,0.0,top
C30,67.89,-71.72,180.0,top
C4,58.5384,-66.81,90.0,top
C5,49.53,-84.78,180.0,top
C6,140.93,-98.33,0.0,top
C66,142.19,-90.72,90.0,top
C7,35.2,-55.07,270.0,top
C77,140.9,-90.44,90.0,top
C8,139.5,-82.02,90.0,top
C9,137.44,-41.35,90.0,top
D1,28.015,-76.75,180.0,top
D10,163.275,-107.72,180.0,top
D11,135.315,-66.6,0.0,top
D12,145.7,-124.4,0.0,top
D2,28.015,-78.74,180.0,top
D3,28.025,-80.75,180.0,top
D4,28.015,-82.77,180.0,top
D5,40.3,-69.0,270.0,top
D6,28.015,-84.65,180.0,top
D7,36.95,-67.3,180.0,top
D8,27.985,-86.54,180.0,top
D9,161.5,-101.5,90.0,top
DTVS2,55.6,-44.8,0.0,top
E1,74.8,-82.0,0.0,top
E2,155.0,-117.7,90.0,top
E3,134.0,-82.5,0.0,top
E4,153.2,-99.0,180.0,top
J1,148.9,-86.0,0.0,top
J10,117.22,-131.61,0.0,top
J11,101.1,-131.54,0.0,top
J12,85.02,-131.54,0.0,top
J13,68.93,-131.55,0.0,top
J14,52.86,-131.52,0.0,top
J15,36.8,-131.5,0.0,top
J16,91.85,-34.0,180.0,top
J17,72.53,-33.99,180.0,top
J2,162.6,-86.0,0.0,top
J3,156.23,-85.19,0.0,top
J5,139.0,-133.0,0.0,top
J6,150.2,-131.6,0.0,top
J7,145.7,-33.85,180.0,top
J8,120.7,-33.8,180.0,top
K1,121.25,-98.3625,270.0,top
K2,103.5,-98.3625,270.0,top
K3,86.0,-98.3625,270.0,top
K4,69.0,-98.3625,270.0,top
K5,51.5,-98.3625,270.0,top
K6,34.0,-98.3625,270.0,top
L1,150.025,-107.0,0.0,top
L2,127.49,-49.9575,90.0,top
P1,59.77,-32.625,0.0,top
P2,134.52,-63.0,0.0,top
P3,113.5,-59.6,90.0,top
P4,88.83,-81.7,180.0,top
Q1,140.45,-100.9,180.0,top
Q2,135.95,-100.9,180.0,top
Q3,56.88,-60.8925,270.0,top
Q4,62.8375,-61.85,180.0,top
R1,31.05,-76.75,0.0,top
R10,144.0,-84.175,90.0,top
R101,32.3,-55.425,270.0,top
R11,144.95,-93.35,270.0,top
R12,62.29,-59.26,0.0,top
R13,106.21,-56.25,180.0,top
R14,81.94,-56.36,180.0,top
R15,134.0,-41.0,270.0,top
R16,139.5,-41.0,270.0,top
R17,99.95,-56.25,180.0,top
R18,75.43,-56.27,180.0,top
R19,94.16,-56.33,180.0,top
R2,30.8,-78.75,0.0,top
R20,136.0,-41.0,270.0,top
R21,141.5,-41.0,270.0,top
R22,87.95,-56.37,180.0,top
R23,131.05,-41.0,270.0,top
R24,128.45,-41.0,90.0,top
R25,89.865,-42.45,0.0,top
R26,94.87,-42.47,0.0,top
R27,100.36,-42.41,0.0,top
R28,105.35,-42.42,0.0,top
R29,79.87,-42.43,0.0,top
R3,30.8,-80.75,0.0,top
R30,84.86,-42.42,0.0,top
R31,126.82,-41.04,270.0,top
R32,125.2,-41.055,90.0,top
R33,145.5,-41.0,270.0,top
R34,151.0,-41.0,270.0,top
R35,160.45,-107.72,0.0,top
R36,147.5,-41.0,270.0,top
R37,153.0,-41.0,270.0,top
R38,106.0,-40.5,0.0,top
R39,101.0,-40.5,0.0,top
R4,30.815,-82.76,0.0,top
R40,95.5,-40.5,0.0,top
R41,90.5,-40.5,0.0,top
R42,85.5,-40.5,0.0,top
R43,80.5,-40.5,0.0,top
R44,137.73,-127.66,180.0,top
R45,140.25,-127.65,0.0,top
R46,144.0,-79.99,90.0,top
R47,138.01,-97.5,0.0,top
R48,133.51,-101.19,270.0,top
R49,136.01,-57.0,180.0,top
R5,30.835,-84.66,0.0,top
R50,53.42,-49.055,90.0,top
R51,56.8,-48.2,0.0,top
R52,135.94,-119.84,270.0,top
R53,133.91,-119.84,90.0,top
R54,56.625,-51.7,0.0,top
R55,61.2,-50.0,90.0,top
R56,60.3,-55.075,90.0,top
R57,135.16,-124.75,270.0,top
R58,133.17,-124.745,90.0,top
R59,66.0,-55.08,270.0,top
R6,88.41,-76.87,180.0,top
R60,135.98,-69.54,180.0,top
R61,136.0,-71.5,180.0,top
R62,114.95,-53.1,180.0,top
R63,114.975,-54.7,0.0,top
R64,115.72,-41.075,270.0,top
R65,117.5,-41.1,90.0,top
R66,120.62,-45.5,0.0,top
R67,118.83,-53.82,180.0,top
R68,67.7,-55.075,90.0,top
R69,56.005,-56.9,0.0,top
R7,30.87,-86.54,0.0,top
R70,65.54,-62.66,90.0,top
R71,54.33,-63.03,90.0,top
R72,59.85,-60.08,270.0,top
R73,57.01,-63.71,0.0,top
R74,62.73,-64.4,180.0,top
R8,84.29,-76.76,0.0,top
R9,85.96,-71.95,0.0,top
RN1,45.38,-75.74,90.0,top
RN2,79.48,-67.87,90.0,top
S1,131.14,-120.73,270.0,top
S2,127.75,-127.6875,90.0,top
S4,127.53,-120.7475,90.0,top
TVS1,64.0,-45.0,0.0,top
TVS3,72.4,-41.2,0.0,top
U1,50.22,-58.81,180.0,top
U10,132.52,-52.2825,270.0,top
U11,147.475,-117.0,270.0,top
U12,146.7,-45.9925,270.0,top
U13,146.64,-52.2925,270.0,top
U15,105.77,-49.7,270.0,top
U16,99.5,-50.0,270.0,top
U17,93.78,-49.92,270.0,top
U18,87.5,-49.77,270.0,top
U19,81.5,-50.0,270.0,top
U2,54.455,-80.425,270.0,top
U20,75.0,-50.0,270.0,top
U21,139.22415,-48.81,0.0,top
U22,152.675,-66.75,270.0,top
U23,137.475,-109.555,270.0,top
U24,66.97,-50.09,0.0,top
U25,116.41,-48.21,270.0,top
U26,70.4898,-55.74,270.0,top
U3,88.425,-67.371,270.0,top
U5,54.3592,-71.11,0.0,top
U6,70.0,-67.5,90.0,top
U62,40.65,-45.4,0.0,top
U8,135.4,-91.3,180.0,top
U9,133.15,-45.9025,270.0,top
Y1,39.35,-62.6,180.0,top
